epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.362,1.19581,1.3612,1.2358,0.63327,0.5423,0.60408,0.44427,1.08877,1.13229,1.1257,8.33e-06,8.33e-06,8.33e-06
2,207.018,1.16889,1.37601,1.19892,0.63112,0.56628,0.62096,0.46133,1.07889,1.10076,1.11729,1.60829e-05,1.60829e-05,1.60829e-05
3,313.651,1.16583,1.28212,1.17475,0.61367,0.58564,0.63967,0.47445,1.07105,1.08269,1.1123,2.19507e-05,2.19507e-05,2.19507e-05
4,413.651,1.14448,1.33671,1.17723,0.62954,0.62209,0.66758,0.49532,1.06134,1.06271,1.10587,2.59337e-05,2.59337e-05,2.59337e-05
5,510.281,1.13255,1.21408,1.17258,0.64206,0.61108,0.67132,0.50057,1.05517,1.04036,1.09965,2.80316e-05,2.80316e-05,2.80316e-05
6,602.338,1.1277,1.22463,1.18836,0.65714,0.60594,0.68194,0.50935,1.05238,1.0171,1.09782,2.82447e-05,2.82447e-05,2.82447e-05
7,696.917,1.07347,1.1791,1.14524,0.68138,0.61505,0.69175,0.51881,1.04383,1.00141,1.0934,2.65727e-05,2.65727e-05,2.65727e-05
8,802.235,1.10048,1.17795,1.17469,0.70587,0.61938,0.70017,0.52598,1.03681,0.98733,1.08897,2.30158e-05,2.30158e-05,2.30158e-05
9,895.295,1.10246,1.12109,1.15268,0.7075,0.62635,0.70619,0.53263,1.03148,0.97481,1.08562,1.75739e-05,1.75739e-05,1.75739e-05
10,988.808,1.107,1.13015,1.16216,0.71258,0.62898,0.70964,0.53507,1.02932,0.96986,1.08401,1.02471e-05,1.02471e-05,1.02471e-05
